Level Date Low_Temp High_Temp
E [2024-08-05 18:35:04] dragon:538 84.71
E [2024-08-05 18:35:52] chimera:888 2.93
W [2024-08-05 18:36:40] chimera:277 -39.59
W [2024-08-05 18:40:48] fairy:276 97.41
I [2024-08-05 18:42:05] elemental:903 21.39
E [2024-08-05 18:43:10] elemental:654 -40.6
W [2024-08-05 18:46:18] basilisk:779 93.53
I [2024-08-05 18:46:20] basilisk:610 57.78
I [2024-08-05 18:46:40] basilisk:618 28.71
E [2024-08-05 18:50:12] elemental:707 -79.22
E [2024-08-05 18:50:28] chimera:843 -27.99
I [2024-08-05 18:51:09] basilisk:982 -47.30
W [2024-08-05 18:51:14] chimera:70 75.10
I [2024-08-05 18:56:17] fairy:929 -51.65
E [2024-08-05 18:56:28] elemental:454 -97.28
W [2024-08-05 18:58:39] dragon:964 -23.59
I [2024-08-05 19:00:50] basilisk:261 27.76
E [2024-08-05 19:05:09] basilisk:708 77.55
W [2024-08-05 19:06:39] elemental:440 -15.32
W [2024-08-05 19:07:27] elemental:405 73.37
W [2024-08-05 19:07:28] dragon:520 -12.82
I [2024-08-05 19:07:43] dragon:4 27.5
I [2024-08-05 19:09:32] chimera:933 -91.44
W [2024-08-05 19:10:17] dragon:236 -44.33
E [2024-08-05 19:11:17] elemental:122 62.31
E [2024-08-05 19:13:43] basilisk:11 76.82
I [2024-08-05 19:14:28] dragon:5 -66.53
E [2024-08-05 19:14:41] elemental:195 -88.71
W [2024-08-05 19:17:05] dragon:680 -4.5
E [2024-08-05 19:17:09] chimera:333 -50.76
E [2024-08-05 19:20:05] fairy:77 -88.16
I [2024-08-05 19:21:27] elemental:718 100.82
W [2024-08-05 19:21:45] chimera:832 -24.50
W [2024-08-05 19:23:33] fairy:790 66.1
E [2024-08-05 19:23:38] chimera:895 -4.0
W [2024-08-05 19:28:45] basilisk:190 42.60
I [2024-08-05 19:32:45] fairy:430 -94.79
I [2024-08-05 19:37:53] elemental:773 -57.96
I [2024-08-05 19:38:04] basilisk:314 -79.21
I [2024-08-05 19:39:33] elemental:676 45.25
W [2024-08-05 19:41:02] chimera:795 70.16
W [2024-08-05 19:42:19] dragon:366 -18.77
I [2024-08-05 19:43:13] fairy:548 -89.82
E [2024-08-05 19:44:23] chimera:941 -28.49
I [2024-08-05 19:45:08] dragon:812 -49.44
E [2024-08-05 19:45:31] dragon:781 83.7
I [2024-08-05 19:46:38] fairy:724 83.19
W [2024-08-05 19:47:35] elemental:958 -83.4
W [2024-08-05 19:48:26] chimera:341 83.84
E [2024-08-05 19:53:07] basilisk:863 -66.40
E [2024-08-05 19:58:17] elemental:754 -45.86
I [2024-08-05 19:59:29] elemental:557 80.7
W [2024-08-05 19:59:49] elemental:606 13.86
I [2024-08-05 20:01:01] elemental:943 74.87
I [2024-08-05 20:03:18] chimera:679 94.96
I [2024-08-05 20:03:40] chimera:144 -81.19
W [2024-08-05 20:04:47] dragon:384 -25.39
I [2024-08-05 20:06:10] elemental:109 10.77
W [2024-08-05 20:07:13] elemental:937 -23.35
I [2024-08-05 20:11:17] dragon:689 14.66
E [2024-08-05 20:12:18] chimera:941 -70.78
I [2024-08-05 20:13:31] dragon:888 -75.84
E [2024-08-05 20:16:50] fairy:434 -77.52
I [2024-08-05 20:17:02] fairy:860 -59.4
I [2024-08-05 20:17:48] chimera:666 -67.45
W [2024-08-05 20:19:39] basilisk:306 28.20
E [2024-08-05 20:23:58] chimera:182 -57.44
I [2024-08-05 20:24:03] dragon:541 -20.60
W [2024-08-05 20:25:49] basilisk:669 -26.26
W [2024-08-05 20:26:30] fairy:115 6.31
I [2024-08-05 20:29:20] chimera:507 -17.63
W [2024-08-05 20:29:32] dragon:720 62.48
I [2024-08-05 20:29:55] dragon:383 33.0
I [2024-08-05 20:31:23] dragon:396 24.38
I [2024-08-05 20:31:47] chimera:286 -20.22
I [2024-08-05 20:36:35] fairy:314 72.44
W [2024-08-05 20:36:41] fairy:593 52.11
E [2024-08-05 20:38:21] fairy:440 -91.7
E [2024-08-05 20:39:05] dragon:367 94.49
W [2024-08-05 20:43:14] chimera:943 -2.59
E [2024-08-05 20:46:04] dragon:596 9.39
W [2024-08-05 20:46:16] fairy:102 -33.25
W [2024-08-05 20:48:57] dragon:30 29.51
E [2024-08-05 20:50:01] basilisk:455 -58.17
E [2024-08-05 20:53:45] elemental:89 -57.4
E [2024-08-05 20:53:57] chimera:82 46.76
W [2024-08-05 20:55:59] basilisk:202 8.41
W [2024-08-05 20:56:26] basilisk:665 -64.96
I [2024-08-05 20:56:51] dragon:184 84.8
I [2024-08-05 20:58:18] elemental:186 -7.47
I [2024-08-05 20:58:23] basilisk:361 -16.38
I [2024-08-05 20:59:12] dragon:918 -98.23
W [2024-08-05 21:01:12] basilisk:488 94.26
E [2024-08-05 21:02:08] basilisk:388 27.29
W [2024-08-05 21:02:12] chimera:670 -78.67
W [2024-08-05 21:02:17] elemental:469 -17.70
W [2024-08-05 21:04:13] elemental:843 -45.40
W [2024-08-05 21:05:13] basilisk:830 77.56
I [2024-08-05 21:07:06] fairy:284 45.94
W [2024-08-05 21:09:46] chimera:480 38.85
W [2024-08-05 21:12:47] elemental:458 10.97
E [2024-08-05 21:14:08] fairy:163 89.59
I [2024-08-05 21:17:30] basilisk:850 96.13
W [2024-08-05 21:17:51] fairy:632 88.63
E [2024-08-05 21:19:01] dragon:129 -28.71
I [2024-08-05 21:20:04] elemental:837 -10.99
W [2024-08-05 21:22:10] basilisk:217 43.23
W [2024-08-05 21:23:07] elemental:60 -61.42
I [2024-08-05 21:23:21] chimera:988 12.12
I [2024-08-05 21:23:47] basilisk:601 27.91
E [2024-08-05 21:23:56] chimera:414 42.44
E [2024-08-05 21:25:56] dragon:239 9.28
E [2024-08-05 21:26:11] elemental:687 54.92
I [2024-08-05 21:27:37] fairy:62 51.73
I [2024-08-05 21:28:03] basilisk:658 65.85
E [2024-08-05 21:29:13] elemental:472 7.73
W [2024-08-05 21:31:17] basilisk:847 -20.93
I [2024-08-05 21:34:12] chimera:486 18.61
I [2024-08-05 21:38:31] dragon:685 85.45
E [2024-08-05 21:39:46] basilisk:226 94.86
E [2024-08-05 21:40:16] fairy:842 84.3
I [2024-08-05 21:41:38] fairy:626 25.96
E [2024-08-05 21:41:53] fairy:777 67.84
E [2024-08-05 21:44:57] basilisk:145 -36.68
W [2024-08-05 21:45:02] fairy:690 8.2
I [2024-08-05 21:45:19] elemental:684 58.14
I [2024-08-05 21:45:53] elemental:977 32.8
E [2024-08-05 21:46:46] chimera:542 94.92
I [2024-08-05 21:47:55] dragon:19 29.93
E [2024-08-05 21:48:18] basilisk:971 99.28
E [2024-08-05 21:49:16] dragon:214 -42.68
W [2024-08-05 21:49:16] elemental:381 -70.67
W [2024-08-05 21:51:11] fairy:438 54.96
E [2024-08-05 21:52:12] dragon:463 70.37
W [2024-08-05 21:55:54] fairy:914 -70.21
I [2024-08-05 21:56:14] chimera:942 -54.39
W [2024-08-05 22:00:30] elemental:675 -36.43
W [2024-08-05 22:02:04] basilisk:750 55.91
W [2024-08-05 22:02:16] elemental:210 -48.68
E [2024-08-05 22:02:25] chimera:763 55.69
E [2024-08-05 22:04:08] chimera:326 -68.85
E [2024-08-05 22:04:13] elemental:593 62.37
I [2024-08-05 22:05:25] dragon:606 -10.86
W [2024-08-05 22:05:52] elemental:163 -46.75
I [2024-08-05 22:10:57] dragon:670 -96.22
I [2024-08-05 22:11:35] fairy:65 -58.9
E [2024-08-05 22:12:19] basilisk:780 90.56
W [2024-08-05 22:14:11] basilisk:465 66.54
I [2024-08-05 22:15:18] dragon:130 -22.71
W [2024-08-05 22:15:28] chimera:44 69.74
W [2024-08-05 22:16:49] dragon:526 -90.53
W [2024-08-05 22:17:58] dragon:417 14.50
W [2024-08-05 22:18:56] elemental:970 -17.74
W [2024-08-05 22:18:59] chimera:56 30.61
I [2024-08-05 22:23:33] dragon:5 63.66
I [2024-08-05 22:23:41] fairy:981 -1.78
E [2024-08-05 22:25:32] basilisk:801 0.62
I [2024-08-05 22:26:01] elemental:158 -43.33
W [2024-08-05 22:27:53] fairy:418 91.47
W [2024-08-05 22:31:14] fairy:898 55.84
I [2024-08-05 22:32:10] chimera:777 -30.47
I [2024-08-05 22:33:32] fairy:233 -26.36
I [2024-08-05 22:41:08] dragon:60 -19.40
W [2024-08-05 22:43:34] chimera:976 -8.54
I [2024-08-05 22:44:12] chimera:104 25.35
E [2024-08-05 22:45:52] chimera:61 -9.8
I [2024-08-05 22:47:40] fairy:174 75.75
E [2024-08-05 22:49:47] chimera:708 21.85
I [2024-08-05 22:50:56] chimera:442 79.50
I [2024-08-05 22:54:58] dragon:584 81.78
E [2024-08-05 22:56:05] basilisk:218 88.26
W [2024-08-05 22:57:36] chimera:687 -9.95
I [2024-08-05 23:03:03] chimera:15 14.48
E [2024-08-05 23:03:24] basilisk:247 -58.24
W [2024-08-05 23:05:16] dragon:192 83.90
E [2024-08-05 23:06:16] basilisk:676 -54.95
E [2024-08-05 23:06:36] basilisk:914 -46.71
I [2024-08-05 23:13:14] chimera:992 97.28
I [2024-08-05 23:14:12] chimera:111 91.37
W [2024-08-05 23:14:40] elemental:148 95.18
W [2024-08-05 23:15:24] dragon:818 99.30
I [2024-08-05 23:15:25] fairy:276 -9.13
I [2024-08-05 23:17:27] chimera:132 -88.5
E [2024-08-05 23:18:10] elemental:389 43.49
I [2024-08-05 23:18:32] elemental:745 -84.49
E [2024-08-05 23:19:54] fairy:135 97.15
W [2024-08-05 23:24:20] fairy:227 -73.8
E [2024-08-05 23:26:11] fairy:71 -61.8
W [2024-08-05 23:27:36] dragon:859 -12.37
W [2024-08-05 23:28:24] dragon:427 77.38
I [2024-08-05 23:28:40] dragon:9 87.58
E [2024-08-05 23:29:19] elemental:309 -95.96
I [2024-08-05 23:30:16] elemental:228 -62.34
E [2024-08-05 23:30:47] fairy:460 -23.26
I [2024-08-05 23:36:27] dragon:655 -71.7
I [2024-08-05 23:37:17] basilisk:7 6.62
I [2024-08-05 23:38:06] fairy:257 17.72
E [2024-08-05 23:42:05] fairy:786 -38.32
W [2024-08-05 23:42:10] dragon:518 -54.62
I [2024-08-05 23:45:16] elemental:202 40.73
E [2024-08-05 23:47:40] elemental:660 11.33
I [2024-08-05 23:49:14] elemental:957 16.62
E [2024-08-05 23:50:21] elemental:268 88.41
E [2024-08-05 23:51:05] basilisk:59 27.11
W [2024-08-05 23:52:14] basilisk:464 -64.20
W [2024-08-05 23:54:40] elemental:608 -44.88
E [2024-08-05 23:54:59] basilisk:256 -18.10
W [2024-08-05 23:55:35] chimera:481 -17.43
I [2024-08-05 23:56:29] dragon:672 39.66
E [2024-08-05 23:57:50] fairy:895 24.92
W [2024-08-05 23:58:11] chimera:606 73.74
W [2024-08-05 23:58:21] chimera:822 52.86
I [2024-08-05 23:59:27] chimera:315 37.9
W [2024-08-06 00:01:09] fairy:30 22.53
I [2024-08-06 00:01:45] basilisk:282 -31.2
I [2024-08-06 00:05:23] elemental:427 63.63
W [2024-08-06 00:06:33] elemental:369 -22.65
E [2024-08-06 00:06:43] basilisk:999 0.74
W [2024-08-06 00:07:12] fairy:515 -3.13
I [2024-08-06 00:07:27] chimera:538 60.21
W [2024-08-06 00:07:30] dragon:498 -41.85
W [2024-08-06 00:12:03] basilisk:946 58.56
I [2024-08-06 00:13:58] chimera:828 19.72
I [2024-08-06 00:15:08] basilisk:196 -20.37
I [2024-08-06 00:15:26] basilisk:541 -31.29
I [2024-08-06 00:16:44] chimera:969 -7.65
I [2024-08-06 00:17:32] dragon:987 -44.90
I [2024-08-06 00:21:42] elemental:96 -5.57
I [2024-08-06 00:22:48] chimera:863 89.76
I [2024-08-06 00:23:25] dragon:346 60.10
I [2024-08-06 00:23:36] dragon:190 28.7
I [2024-08-06 00:24:02] fairy:457 -94.90
W [2024-08-06 00:24:25] dragon:194 29.88
I [2024-08-06 00:26:40] basilisk:467 -55.28
E [2024-08-06 00:27:02] fairy:360 15.0
I [2024-08-06 00:27:11] fairy:307 35.34
I [2024-08-06 00:31:14] dragon:583 -55.69
E [2024-08-06 00:32:53] basilisk:951 91.67
I [2024-08-06 00:32:57] fairy:119 -88.19
E [2024-08-06 00:35:43] basilisk:213 -85.54
W [2024-08-06 00:37:48] dragon:43 -6.99
I [2024-08-06 00:38:47] elemental:686 -13.42
W [2024-08-06 00:39:44] elemental:933 -58.3
E [2024-08-06 00:40:08] fairy:378 -40.18
I [2024-08-06 00:41:54] elemental:596 -70.58
I [2024-08-06 00:45:37] chimera:570 -78.38
E [2024-08-06 00:45:49] fairy:999 54.5
W [2024-08-06 00:45:56] fairy:69 46.26
E [2024-08-06 00:52:19] fairy:923 -95.73
E [2024-08-06 00:54:27] basilisk:224 80.30
E [2024-08-06 00:59:36] basilisk:647 95.62
I [2024-08-06 01:00:09] fairy:360 39.24
W [2024-08-06 01:00:28] elemental:57 -2.89
E [2024-08-06 01:01:13] fairy:580 -39.37
I [2024-08-06 01:01:44] fairy:159 -11.67
W [2024-08-06 01:01:53] fairy:653 58.84
E [2024-08-06 01:05:02] chimera:34 85.63
E [2024-08-06 01:05:29] chimera:187 48.5
W [2024-08-06 01:07:18] elemental:851 -95.23
I [2024-08-06 01:08:41] basilisk:345 -46.14
E [2024-08-06 01:16:00] basilisk:167 30.99
W [2024-08-06 01:16:32] fairy:310 88.52
I [2024-08-06 01:16:39] basilisk:882 -4.33
I [2024-08-06 01:18:08] basilisk:765 52.25
E [2024-08-06 01:18:49] chimera:955 57.42
E [2024-08-06 01:19:02] basilisk:675 -68.27
I [2024-08-06 01:20:00] chimera:93 -27.84
I [2024-08-06 01:21:20] fairy:302 33.80
E [2024-08-06 01:24:44] fairy:1 -22.78
I [2024-08-06 01:25:09] dragon:263 -84.60
W [2024-08-06 01:25:20] basilisk:528 34.8
I [2024-08-06 01:28:18] elemental:962 34.31
E [2024-08-06 01:28:53] elemental:148 14.19
I [2024-08-06 01:29:28] dragon:269 8.84
W [2024-08-06 01:29:50] chimera:667 56.11
W [2024-08-06 01:30:30] basilisk:62 -78.98
I [2024-08-06 01:30:31] fairy:133 -18.13
E [2024-08-06 01:36:17] chimera:740 17.85
W [2024-08-06 01:37:42] elemental:788 -57.59
I [2024-08-06 01:38:05] elemental:663 -31.97
E [2024-08-06 01:41:44] dragon:917 90.39
I [2024-08-06 01:43:08] dragon:556 -87.17
E [2024-08-06 01:45:52] fairy:302 13.3
E [2024-08-06 01:46:13] chimera:300 -2.5
E [2024-08-06 01:48:45] chimera:950 64.89
I [2024-08-06 01:49:31] elemental:994 27.40
W [2024-08-06 01:52:00] chimera:776 -14.34
E [2024-08-06 01:52:31] fairy:898 -70.52
I [2024-08-06 01:55:10] dragon:348 16.50
W [2024-08-06 01:58:46] fairy:615 68.13
I [2024-08-06 01:59:02] basilisk:224 -71.89
E [2024-08-06 01:59:20] fairy:842 86.13
E [2024-08-06 02:04:34] chimera:268 46.23
W [2024-08-06 02:05:11] basilisk:64 90.59
I [2024-08-06 02:06:14] elemental:360 61.51
W [2024-08-06 02:07:25] dragon:159 35.59
I [2024-08-06 02:08:00] fairy:593 -35.19
I [2024-08-06 02:08:07] chimera:224 -85.9
W [2024-08-06 02:08:16] chimera:554 76.85
W [2024-08-06 02:11:46] elemental:276 -64.89
I [2024-08-06 02:15:27] chimera:616 -85.53
W [2024-08-06 02:16:08] elemental:152 63.21
I [2024-08-06 02:16:35] basilisk:365 21.69
W [2024-08-06 02:18:46] fairy:197 -50.39
E [2024-08-06 02:18:55] dragon:880 72.48
I [2024-08-06 02:22:06] fairy:550 34.57
I [2024-08-06 02:22:30] chimera:953 85.69
I [2024-08-06 02:24:17] fairy:413 -35.47
W [2024-08-06 02:24:42] chimera:584 -26.67
I [2024-08-06 02:25:07] basilisk:948 -6.23
I [2024-08-06 02:25:29] dragon:83 98.45
W [2024-08-06 02:26:17] elemental:318 -36.85
W [2024-08-06 02:26:47] fairy:567 -39.98
I [2024-08-06 02:28:20] chimera:40 -47.31
W [2024-08-06 02:28:41] elemental:106 -46.87
E [2024-08-06 02:30:45] fairy:92 76.28
W [2024-08-06 02:30:52] basilisk:641 9.52
I [2024-08-06 02:34:20] basilisk:165 40.32
W [2024-08-06 02:40:30] elemental:724 3.18
E [2024-08-06 02:44:04] chimera:846 20.65
E [2024-08-06 02:44:25] elemental:89 -5.68
I [2024-08-06 02:44:53] chimera:113 82.66
W [2024-08-06 02:45:43] chimera:351 -75.16
E [2024-08-06 02:45:54] chimera:139 61.80
E [2024-08-06 02:48:06] chimera:474 51.94
I [2024-08-06 02:49:35] chimera:498 99.27
I [2024-08-06 02:50:53] dragon:655 70.88
I [2024-08-06 02:53:46] dragon:984 -51.36
W [2024-08-06 02:54:55] basilisk:226 68.34
E [2024-08-06 02:55:24] basilisk:965 13.99
I [2024-08-06 02:58:23] elemental:907 -11.45
W [2024-08-06 03:00:25] fairy:701 -82.23
E [2024-08-06 03:04:20] basilisk:839 -14.89
I [2024-08-06 03:05:02] elemental:514 64.0
E [2024-08-06 03:07:04] elemental:630 -34.99
I [2024-08-06 03:07:06] basilisk:44 -65.63
E [2024-08-06 03:07:08] basilisk:203 -87.38
W [2024-08-06 03:07:58] dragon:996 -69.37
I [2024-08-06 03:09:46] dragon:594 -97.95
I [2024-08-06 03:14:28] fairy:959 -35.12
W [2024-08-06 03:15:17] fairy:638 73.89
I [2024-08-06 03:15:51] elemental:21 -6.86
W [2024-08-06 03:20:17] fairy:440 -35.19
W [2024-08-06 03:20:44] chimera:565 -32.63
I [2024-08-06 03:21:04] fairy:998 -22.72
W [2024-08-06 03:21:34] chimera:32 -72.66
W [2024-08-06 03:21:54] basilisk:564 -1.35
W [2024-08-06 03:22:09] chimera:218 33.91
E [2024-08-06 03:25:43] fairy:369 -94.77
I [2024-08-06 03:27:12] fairy:991 -8.94
E [2024-08-06 03:29:04] basilisk:446 82.2
E [2024-08-06 03:30:42] dragon:432 92.71
E [2024-08-06 03:31:47] chimera:539 -48.40
E [2024-08-06 03:31:49] elemental:796 -62.28
W [2024-08-06 03:31:54] fairy:933 -14.67
I [2024-08-06 03:32:38] chimera:969 -42.56
I [2024-08-06 03:35:01] chimera:278 -28.33
W [2024-08-06 03:35:20] chimera:299 -41.89
E [2024-08-06 03:37:32] chimera:383 -99.77
E [2024-08-06 03:38:20] basilisk:956 6.27
E [2024-08-06 03:38:24] basilisk:859 -93.28
E [2024-08-06 03:38:48] basilisk:297 -37.9
I [2024-08-06 03:40:12] elemental:157 -77.1
W [2024-08-06 03:43:09] elemental:874 -4.94
W [2024-08-06 03:43:14] basilisk:710 81.34
I [2024-08-06 03:43:25] dragon:549 -78.86
I [2024-08-06 03:43:28] fairy:399 -51.73
E [2024-08-06 03:45:48] basilisk:746 60.96
E [2024-08-06 03:48:23] dragon:17 -9.58
I [2024-08-06 03:48:26] basilisk:348 -28.3
I [2024-08-06 03:48:32] dragon:778 87.23
W [2024-08-06 03:53:27] basilisk:22 96.87
I [2024-08-06 03:53:55] basilisk:582 87.89
I [2024-08-06 03:53:57] elemental:249 2.55
E [2024-08-06 03:54:26] dragon:952 80.39
E [2024-08-06 03:54:57] fairy:103 87.66
I [2024-08-06 03:55:07] dragon:768 -64.82
I [2024-08-06 03:57:06] fairy:936 -37.19
I [2024-08-06 03:58:19] dragon:844 34.8
W [2024-08-06 04:01:47] chimera:984 26.68
E [2024-08-06 04:02:16] dragon:412 -48.39
E [2024-08-06 04:03:17] dragon:572 -74.14
I [2024-08-06 04:08:36] dragon:449 78.91
I [2024-08-06 04:09:32] chimera:285 70.31
W [2024-08-06 04:13:22] dragon:37 89.40
E [2024-08-06 04:13:46] basilisk:951 -11.7
W [2024-08-06 04:16:02] chimera:916 -97.38
I [2024-08-06 04:16:45] elemental:987 -54.83
W [2024-08-06 04:17:29] dragon:808 16.0
E [2024-08-06 04:18:22] chimera:550 13.45
I [2024-08-06 04:21:29] elemental:636 -48.21
I [2024-08-06 04:21:54] dragon:952 22.79
I [2024-08-06 04:27:20] fairy:312 60.44
W [2024-08-06 04:28:01] elemental:615 3.41
W [2024-08-06 04:29:54] elemental:452 -83.92
W [2024-08-06 04:30:47] basilisk:116 -66.92
W [2024-08-06 04:32:40] elemental:16 -57.17
I [2024-08-06 04:34:36] basilisk:221 -43.8
W [2024-08-06 04:34:48] elemental:7 -92.5
W [2024-08-06 04:35:09] chimera:357 -16.62
E [2024-08-06 04:36:38] dragon:843 -98.91
E [2024-08-06 04:36:40] elemental:879 64.99
I [2024-08-06 04:40:14] dragon:834 -9.44
E [2024-08-06 04:40:14] chimera:184 -11.17
I [2024-08-06 04:41:16] fairy:810 -30.65
I [2024-08-06 04:41:19] basilisk:662 -57.70
E [2024-08-06 04:43:14] basilisk:794 29.43
E [2024-08-06 04:44:26] elemental:778 59.48
E [2024-08-06 04:44:40] dragon:812 9.99
I [2024-08-06 04:46:47] dragon:375 -85.54
I [2024-08-06 04:46:48] basilisk:877 -74.95
W [2024-08-06 04:47:05] chimera:74 -9.15
E [2024-08-06 04:48:58] dragon:600 -12.44
I [2024-08-06 04:49:05] chimera:5 -92.43
I [2024-08-06 04:51:09] elemental:276 96.65
W [2024-08-06 04:55:43] dragon:815 25.37
W [2024-08-06 04:55:47] basilisk:965 -8.99
E [2024-08-06 04:55:51] fairy:726 -46.59
E [2024-08-06 04:57:25] fairy:812 13.0
W [2024-08-06 04:59:18] basilisk:781 -81.77
W [2024-08-06 05:00:02] basilisk:68 -62.17
W [2024-08-06 05:04:04] elemental:311 49.31
I [2024-08-06 05:06:46] basilisk:357 -48.48
W [2024-08-06 05:06:57] chimera:755 25.61
I [2024-08-06 05:09:17] fairy:708 -22.15
W [2024-08-06 05:10:12] elemental:643 -15.7
I [2024-08-06 05:10:36] fairy:236 -14.57
W [2024-08-06 05:11:12] fairy:1000 100.58
E [2024-08-06 05:15:11] basilisk:750 -27.58
E [2024-08-06 05:15:33] dragon:608 -67.80
W [2024-08-06 05:15:42] dragon:320 74.1
W [2024-08-06 05:16:05] dragon:726 81.7
E [2024-08-06 05:21:46] dragon:989 -55.81
I [2024-08-06 05:23:36] chimera:723 26.95
