Level Date Low_Temp High_Temp
I 1722933893 chimera:113 82.66
W 1722933943 chimera:351 -75.16
E 1722933954 chimera:139 61.80
E 1722934086 chimera:474 51.94
I 1722934175 chimera:498 99.27
I 1722934253 dragon:655 70.88
I 1722934426 dragon:984 -51.36
W 1722934495 basilisk:226 68.34
E 1722934524 basilisk:965 13.99
I 1722934703 elemental:907 -11.45
W 1722934825 fairy:701 -82.23
E 1722935060 basilisk:839 -14.89
I 1722935102 elemental:514 64.0
E 1722935224 elemental:630 -34.99
I 1722935226 basilisk:44 -65.63
E 1722935228 basilisk:203 -87.38
W 1722935278 dragon:996 -69.37
I 1722935386 dragon:594 -97.95
I 1722935668 fairy:959 -35.12
W 1722935717 fairy:638 73.89
I 1722935751 elemental:21 -6.86
W 1722936017 fairy:440 -35.19
W 1722936044 chimera:565 -32.63
I 1722936064 fairy:998 -22.72
W 1722936094 chimera:32 -72.66
W 1722936114 basilisk:564 -1.35
W 1722936129 chimera:218 33.91
E 1722936343 fairy:369 -94.77
I 1722936432 fairy:991 -8.94
E 1722936544 basilisk:446 82.2
E 1722936642 dragon:432 92.71
E 1722936707 chimera:539 -48.40
E 1722936709 elemental:796 -62.28
W 1722936714 fairy:933 -14.67
I 1722936758 chimera:969 -42.56
I 1722936901 chimera:278 -28.33
W 1722936920 chimera:299 -41.89
E 1722937052 chimera:383 -99.77
E 1722937100 basilisk:956 6.27
E 1722937104 basilisk:859 -93.28
E 1722937128 basilisk:297 -37.9
I 1722937212 elemental:157 -77.1
W 1722937389 elemental:874 -4.94
W 1722937394 basilisk:710 81.34
I 1722937405 dragon:549 -78.86
I 1722937408 fairy:399 -51.73
E 1722937548 basilisk:746 60.96
E 1722937703 dragon:17 -9.58
I 1722937706 basilisk:348 -28.3
I 1722937712 dragon:778 87.23
W 1722938007 basilisk:22 96.87
I 1722938035 basilisk:582 87.89
I 1722938037 elemental:249 2.55
E 1722938066 dragon:952 80.39
E 1722938097 fairy:103 87.66
I 1722938107 dragon:768 -64.82
I 1722938226 fairy:936 -37.19
I 1722938299 dragon:844 34.8
W 1722938507 chimera:984 26.68
E 1722938536 dragon:412 -48.39
E 1722938597 dragon:572 -74.14
I 1722938916 dragon:449 78.91
I 1722938972 chimera:285 70.31
W 1722939202 dragon:37 89.40
E 1722939226 basilisk:951 -11.7
W 1722939362 chimera:916 -97.38
I 1722939405 elemental:987 -54.83
W 1722939449 dragon:808 16.0
E 1722939502 chimera:550 13.45
I 1722939689 elemental:636 -48.21
I 1722939714 dragon:952 22.79
I 1722940040 fairy:312 60.44
W 1722940081 elemental:615 3.41
W 1722940194 elemental:452 -83.92
W 1722940247 basilisk:116 -66.92
W 1722940360 elemental:16 -57.17
I 1722940476 basilisk:221 -43.8
W 1722940488 elemental:7 -92.5
W 1722940509 chimera:357 -16.62
E 1722940598 dragon:843 -98.91
E 1722940600 elemental:879 64.99
I 1722940814 dragon:834 -9.44
E 1722940814 chimera:184 -11.17
I 1722940876 fairy:810 -30.65
I 1722940879 basilisk:662 -57.70
E 1722940994 basilisk:794 29.43
E 1722941066 elemental:778 59.48
E 1722941080 dragon:812 9.99
I 1722941207 dragon:375 -85.54
I 1722941208 basilisk:877 -74.95
W 1722941225 chimera:74 -9.15
E 1722941338 dragon:600 -12.44
I 1722941345 chimera:5 -92.43
I 1722941469 elemental:276 96.65
W 1722941743 dragon:815 25.37
W 1722941747 basilisk:965 -8.99
E 1722941751 fairy:726 -46.59
E 1722941845 fairy:812 13.0
W 1722941958 basilisk:781 -81.77
W 1722942002 basilisk:68 -62.17
W 1722942244 elemental:311 49.31
I 1722942406 basilisk:357 -48.48
W 1722942417 chimera:755 25.61
I 1722942557 fairy:708 -22.15
W 1722942612 elemental:643 -15.7
I 1722942636 fairy:236 -14.57
W 1722942672 fairy:1000 100.58
E 1722942911 basilisk:750 -27.58
E 1722942933 dragon:608 -67.80
W 1722942942 dragon:320 74.1
W 1722942965 dragon:726 81.7
E 1722943306 dragon:989 -55.81
I 1722943416 chimera:723 26.95
I 1722943487 chimera:991 65.90
I 1722943650 fairy:375 -78.15
W 1722943730 elemental:594 81.51
I 1722943732 elemental:346 -70.82
W 1722943780 fairy:407 -38.34
W 1722944016 dragon:200 60.41
I 1722944157 basilisk:87 59.77
W 1722944270 basilisk:435 -47.67
W 1722944900 basilisk:265 -61.76
I 1722944982 fairy:634 -91.33
I 1722945135 dragon:508 -38.34
I 1722945249 chimera:665 -65.98
E 1722945368 fairy:988 -81.54
I 1722945393 chimera:567 18.14
I 1722945708 basilisk:761 60.14
I 1722945846 elemental:834 -25.97
I 1722945936 elemental:552 35.55
W 1722946432 chimera:37 -96.22
E 1722946518 elemental:536 -11.79
E 1722946537 dragon:135 43.66
E 1722946608 fairy:835 84.56
E 1722946634 basilisk:828 -68.35
E 1722946649 fairy:314 -90.76
I 1722946677 elemental:522 22.34
I 1722946801 fairy:993 -17.31
E 1722946858 chimera:18 -91.1
W 1722946906 chimera:154 -97.60
E 1722946920 basilisk:708 52.99
E 1722947019 chimera:511 19.86
W 1722947031 basilisk:384 40.93
E 1722947227 fairy:719 -51.21
W 1722947243 chimera:741 -65.91
W 1722947272 elemental:294 -76.91
W 1722947344 chimera:38 20.97
I 1722947360 chimera:545 -81.78
W 1722947547 basilisk:329 5.67
W 1722947569 basilisk:704 56.3
I 1722947569 fairy:571 44.36
E 1722947665 chimera:451 -70.64
I 1722947666 chimera:925 -13.81
W 1722947675 chimera:95 -57.3
E 1722947741 elemental:267 35.80
E 1722947742 basilisk:325 59.29
I 1722947748 chimera:5 -23.54
W 1722947763 basilisk:883 -99.37
E 1722947777 chimera:877 40.68
W 1722947945 fairy:115 29.38
W 1722947955 elemental:427 47.41
E 1722948042 basilisk:161 -65.35
I 1722948044 chimera:249 8.69
W 1722948144 chimera:514 -78.67
W 1722948202 basilisk:370 27.57
I 1722948306 dragon:995 -37.82
I 1722948342 dragon:257 95.95
W 1722948359 basilisk:70 99.97
W 1722948403 basilisk:407 -97.32
E 1722948417 dragon:815 -88.7
E 1722948610 basilisk:429 -24.14
E 1722948823 basilisk:420 -59.63
I 1722948827 basilisk:98 -42.20
I 1722948828 fairy:997 47.32
E 1722948836 basilisk:153 -96.50
I 1722948877 elemental:38 -62.4
W 1722949010 chimera:450 26.44
I 1722949111 dragon:753 65.30
I 1722949278 dragon:633 -36.37
W 1722949283 elemental:672 79.95
W 1722949314 dragon:693 56.54
I 1722949460 elemental:665 -32.15
I 1722949562 dragon:51 -83.43
I 1722949588 elemental:16 -86.42
W 1722949605 basilisk:782 56.53
W 1722949703 chimera:977 26.19
I 1722949797 chimera:747 -69.93
W 1722949873 dragon:363 -80.19
W 1722949886 dragon:949 21.28
I 1722949912 chimera:162 98.11
E 1722950002 basilisk:735 -3.87
W 1722950012 chimera:151 21.6
I 1722950135 dragon:180 -37.58
E 1722950161 fairy:187 75.38
I 1722950181 fairy:220 -77.38
I 1722950276 fairy:918 51.80
E 1722950302 fairy:959 -76.21
W 1722950401 dragon:817 -41.65
E 1722950432 elemental:287 -70.75
W 1722950632 dragon:329 -4.40
I 1722950831 fairy:201 -63.70
W 1722950853 chimera:250 -7.54
E 1722950903 elemental:262 -19.37
W 1722950959 basilisk:65 -21.41
W 1722951044 dragon:452 -27.6
E 1722951200 fairy:872 -34.37
E 1722951253 elemental:305 -82.22
W 1722951255 dragon:955 38.79
I 1722951346 chimera:888 -70.69
W 1722951605 dragon:94 56.91
I 1722951611 basilisk:315 17.91
I 1722951625 fairy:839 79.60
I 1722951700 dragon:744 -23.43
E 1722951701 fairy:786 -98.4
W 1722951723 elemental:811 93.84
I 1722951798 chimera:905 84.10
I 1722951968 dragon:365 -66.65
E 1722952176 elemental:178 54.87
I 1722952192 dragon:409 -79.55
W 1722952197 chimera:732 -51.94
W 1722952244 fairy:919 -75.75
I 1722952356 basilisk:233 48.7
I 1722952377 elemental:737 -33.99
W 1722952448 elemental:223 -52.75
I 1722952615 chimera:541 -15.13
E 1722952637 elemental:77 40.46
W 1722952716 basilisk:375 0.35
E 1722952748 chimera:575 -87.2
E 1722952797 fairy:14 31.80
W 1722952895 fairy:793 -37.23
E 1722952984 dragon:658 28.42
E 1722953095 fairy:426 -79.86
W 1722953104 elemental:898 -32.53
W 1722953131 basilisk:827 -15.59
W 1722953329 chimera:54 59.15
I 1722953354 chimera:617 64.97
I 1722953540 fairy:747 -67.33
I 1722953562 fairy:741 -72.87
I 1722953564 basilisk:21 87.27
E 1722953566 dragon:79 -68.5
I 1722953646 fairy:413 -61.76
E 1722953652 chimera:65 42.22
E 1722953672 elemental:319 -79.84
I 1722953760 basilisk:291 -51.60
I 1722953818 basilisk:296 56.40
E 1722953831 dragon:718 -56.71
I 1722953838 chimera:383 67.90
W 1722953879 chimera:512 -8.32
I 1722953981 dragon:643 77.12
W 1722954005 chimera:480 47.12
W 1722954168 fairy:356 99.99
E 1722954183 fairy:805 -95.87
E 1722954239 dragon:765 -68.55
W 1722954244 basilisk:855 4.47
W 1722954563 chimera:254 26.91
W 1722954611 chimera:881 18.89
I 1722954641 chimera:942 -32.69
W 1722954744 fairy:972 -71.75
E 1722955043 elemental:490 -22.89
E 1722955320 elemental:559 -26.49
I 1722955340 elemental:478 33.24
I 1722955414 elemental:880 -71.14
E 1722955513 elemental:438 33.37
E 1722955592 dragon:95 2.96
I 1722955732 dragon:440 9.98
W 1722955797 chimera:573 75.33
E 1722956304 elemental:31 20.3
E 1722956393 dragon:498 49.72
W 1722956430 basilisk:370 14.56
W 1722956512 fairy:208 86.40
E 1722956540 dragon:792 80.95
E 1722956651 basilisk:445 95.46
W 1722956666 chimera:593 33.72
W 1722956667 dragon:708 62.73
E 1722956726 basilisk:873 -51.19
E 1722956747 dragon:310 67.17
I 1722956802 dragon:691 27.5
I 1722956834 chimera:805 -82.36
W 1722956952 basilisk:455 25.37
W 1722957017 basilisk:514 22.96
I 1722957076 dragon:312 16.58
E 1722957135 fairy:578 37.2
E 1722957388 dragon:825 -23.18
I 1722957458 fairy:169 4.2
I 1722957524 chimera:743 -12.43
I 1722957644 chimera:346 99.45
W 1722957717 basilisk:799 49.14
I 1722957784 fairy:922 -28.42
W 1722957809 fairy:333 97.19
W 1722957810 basilisk:565 55.71
I 1722958500 dragon:337 -85.19
E 1722958575 fairy:499 52.97
I 1722958600 fairy:176 70.6
E 1722958604 basilisk:723 45.94
W 1722958621 basilisk:361 -75.16
W 1722958811 chimera:399 -90.83
W 1722959092 elemental:373 -70.84
W 1722959137 chimera:501 48.26
E 1722959153 fairy:837 -7.84
E 1722959227 fairy:762 -28.67
E 1722959259 dragon:31 75.56
W 1722959281 dragon:843 -99.73
I 1722959310 elemental:740 -3.45
W 1722959433 dragon:420 -49.3
W 1722959442 elemental:465 77.47
W 1722959488 fairy:326 29.13
W 1722959506 dragon:708 41.50
W 1722959691 elemental:258 100.28
E 1722959828 elemental:570 41.9
I 1722959855 fairy:771 32.95
W 1722959920 dragon:994 -73.61
W 1722960080 elemental:738 96.24
I 1722960121 fairy:777 -69.30
E 1722960172 elemental:365 -67.33
W 1722960297 elemental:917 6.69
E 1722960327 basilisk:122 60.2
W 1722960359 fairy:125 35.18
W 1722960385 fairy:609 83.98
W 1722960599 basilisk:677 100.43
E 1722960625 basilisk:364 -50.22
W 1722960823 fairy:673 84.34
W 1722961156 elemental:584 0.25
W 1722961316 chimera:708 -69.65
E 1722961417 chimera:628 76.79
I 1722961439 chimera:454 97.16
E 1722961538 basilisk:266 -74.64
I 1722961583 chimera:661 -79.42
E 1722961627 basilisk:835 -87.2
I 1722961829 chimera:321 -63.88
W 1722962010 basilisk:881 84.53
I 1722962033 chimera:741 -89.87
E 1722962043 basilisk:827 -39.25
W 1722962059 basilisk:644 -43.24
W 1722962219 chimera:572 19.25
I 1722962355 fairy:697 -12.68
I 1722962378 chimera:551 85.27
E 1722962426 elemental:960 69.72
W 1722962620 basilisk:796 -58.94
W 1722962672 dragon:554 64.47
I 1722962724 fairy:531 16.94
W 1722962740 dragon:55 -44.82
I 1722962806 basilisk:730 -72.39
I 1722962896 chimera:729 20.25
I 1722962922 elemental:861 -16.92
I 1722962996 basilisk:595 90.54
I 1722963009 elemental:309 -3.8
E 1722963014 basilisk:717 55.62
I 1722963082 fairy:309 44.38
W 1722963417 basilisk:286 77.53
E 1722963426 basilisk:570 -23.36
E 1722963698 fairy:58 -39.25
I 1722963805 elemental:182 24.16
W 1722963965 fairy:655 -1.79
W 1722964017 basilisk:53 67.71
W 1722964102 basilisk:632 -69.38
I 1722964148 chimera:699 72.12
E 1722964281 basilisk:961 75.88
E 1722964400 chimera:875 -24.55
